linkdir,access,access_delta,link,fr_edge_src,fr_edge_tgt,fr_dist_from_start,fr_dist_to_end,to_edge_src,to_edge_tgt,to_dist_from_start,to_dist_to_end,geographic_length_m,network_length_m,score,score_gravity,rank
/home/mwbc/ped-transit-data/networks/links_top250/link_id_1003,17104388291,1895085,1003,"VertexID(170601126, :node)","VertexID(5727456613, :node)",0,9,"VertexID(510706, :split)","VertexID(6329599960, :node)",35,25,7,0,75809.61141510695,13534.524138210034,154
/home/mwbc/ped-transit-data/networks/links_top250/link_id_10306,17103647730,1154524,10306,"VertexID(1849678146, :node)","VertexID(5904366866, :node)",3,0,"VertexID(510029, :split)","VertexID(3698122892, :node)",8,0,64,0,92653.68610513696,19815.722492192275,103
/home/mwbc/ped-transit-data/networks/links_top250/link_id_10364,17104009373,1516167,10364,"VertexID(170538823, :node)","VertexID(170538826, :node)",147,0,"VertexID(6139621871, :node)","VertexID(6139621872, :node)",0,6,49,0,65174.548111650955,6526.195805410261,210
/home/mwbc/ped-transit-data/networks/links_top250/link_id_10466,17102493206,0,10466,"VertexID(195711040, :node)","VertexID(9482544265, :node)",0,76,"VertexID(512142, :split)","VertexID(6342008560, :node)",26,101,9,0,75523.99038461546,13025.537739798217,157
/home/mwbc/ped-transit-data/networks/links_top250/link_id_10994,17103205437,712231,10994,"VertexID(512573, :split)","VertexID(6023795840, :node)",4,0,"VertexID(5585072388, :node)","VertexID(5585072389, :node)",10,0,97,0,203907.6219171456,32194.64114302084,17
/home/mwbc/ped-transit-data/networks/links_top250/link_id_11027,17102612528,119322,11027,"VertexID(1439360896, :node)","VertexID(6035134043, :node)",0,7,"VertexID(6223332513, :node)","VertexID(12881215228, :node)",0,40,90,0,80854.16614427707,18607.343893224835,136
/home/mwbc/ped-transit-data/networks/links_top250/link_id_11321,17103567877,1074671,11321,"VertexID(5954472055, :node)","VertexID(5954552357, :node)",71,33,"VertexID(9095195480, :node)","VertexID(13101896197, :node)",0,32,56,0,77105.75796480931,9156.769745719983,149
/home/mwbc/ped-transit-data/networks/links_top250/link_id_11729,17102614248,121042,11729,"VertexID(195410495, :node)","VertexID(195410499, :node)",2,47,"VertexID(195399165, :node)","VertexID(10825050370, :node)",23,104,86,0,69017.7226882292,7302.662628332295,184
/home/mwbc/ped-transit-data/networks/links_top250/link_id_12224,17102513514,20308,12224,"VertexID(1984399498, :node)","VertexID(1984399576, :node)",112,226,"VertexID(5159970620, :node)","VertexID(5159970626, :node)",71,0,84,0,115468.6149509974,10351.671904381483,68
/home/mwbc/ped-transit-data/networks/links_top250/link_id_12338,17113964491,11471285,12338,"VertexID(5482981933, :node)","VertexID(5939949473, :node)",31,0,"VertexID(6311780609, :node)","VertexID(6311780610, :node)",14,0,82,0,75882.02328978434,10816.388590845287,153
